STN,YYYYMMDD,    Q 
  260,20000101,   93
  260,20000102,   68
  260,20000103,   35
  260,20000104,   30
  260,20000105,  347
  260,20000106,  112
  260,20000107,  149
  260,20000108,   63
  260,20000109,  354
  260,20000110,  427
  260,20000111,  295
  260,20000112,  360
  260,20000113,  227
  260,20000114,  122
  260,20000115,  302
  260,20000116,  116
  260,20000117,   82
  260,20000118,  223
  260,20000119,  175
  260,20000120,   92
  260,20000121,  255
  260,20000122,  250
  260,20000123,  203
  260,20000124,  600
  260,20000125,  360
  260,20000126,  398
  260,20000127,   86
  260,20000128,  134
  260,20000129,   77
  260,20000130,  162
  260,20000131,   58
  260,20000201,  277
  260,20000202,  474
  260,20000203,  354
  260,20000204,  128
  260,20000205,  584
  260,20000206,  132
  260,20000207,  403
  260,20000208,  113
  260,20000209,  327
  260,20000210,  180
  260,20000211,  744
  260,20000212,  256
  260,20000213,  588
  260,20000214,  626
  260,20000215,  473
  260,20000216,  633
  260,20000217,  647
  260,20000218,  230
  260,20000219,  296
  260,20000220,  917
  260,20000221,  557
  260,20000222,  379
  260,20000223,  734
  260,20000224,  494
  260,20000225,  958
  260,20000226, 1030
  260,20000227,  861
  260,20000228,  158
  260,20000229,  492
  260,20000301,  638
  260,20000302,  448
  260,20000303,  560
  260,20000304,  795
  260,20000305,  757
  260,20000306,  409
  260,20000307,  673
  260,20000308,  231
  260,20000309,  423
  260,20000310,  568
  260,20000311,  761
  260,20000312, 1016
  260,20000313,  384
  260,20000314,  282
  260,20000315,  904
  260,20000316,  328
  260,20000317,  416
  260,20000318,  692
  260,20000319, 1179
  260,20000320,  833
  260,20000321,  491
  260,20000322, 1452
  260,20000323, 1409
  260,20000324,  259
  260,20000325,  757
  260,20000326,  939
  260,20000327,  524
  260,20000328,  180
  260,20000329,  511
  260,20000330,  292
  260,20000331,  396
  260,20000401,  542
  260,20000402, 1225
  260,20000403, 1270
  260,20000404,  931
  260,20000405,  943
  260,20000406, 1576
  260,20000407, 1952
  260,20000408, 1225
  260,20000409, 1843
  260,20000410, 2154
  260,20000411, 1700
  260,20000412,  863
  260,20000413,  711
  260,20000414, 1333
  260,20000415,  693
  260,20000416, 1599
  260,20000417, 1351
  260,20000418, 1718
  260,20000419, 1642
  260,20000420, 1105
  260,20000421, 1431
  260,20000422,  574
  260,20000423,  340
  260,20000424, 1506
  260,20000425, 1582
  260,20000426, 1772
  260,20000427, 1219
  260,20000428, 2043
  260,20000429,  532
  260,20000430,  533
  260,20000501, 1222
  260,20000502,  400
  260,20000503,  644
  260,20000504, 1880
  260,20000505, 2428
  260,20000506, 2115
  260,20000507, 2280
  260,20000508, 1982
  260,20000509, 1942
  260,20000510, 1736
  260,20000511, 2416
  260,20000512, 2484
  260,20000513, 2495
  260,20000514, 2706
  260,20000515, 2563
  260,20000516, 2137
  260,20000517, 1566
  260,20000518, 1597
  260,20000519,  792
  260,20000520, 1875
  260,20000521,  630
  260,20000522, 1014
  260,20000523, 1098
  260,20000524, 1592
  260,20000525, 1208
  260,20000526, 1631
  260,20000527, 1795
  260,20000528,  540
  260,20000529, 1852
  260,20000530, 1597
